order_id,order_date,customer_id,product_id,quantity,discount_pct,unit_price_inr,delivery_cost_inr,promised_delivery_date,actual_delivery_date,payment_method
O00001,2025-12-13,C0040,P005,2,25,2999.25,354,2025-12-15,2025-12-15,Wallet
O00002,2025-06-10,C0624,P001,1,5,2849.05,308,2025-06-17,2025-06-19,Wallet
O00003,2024-02-29,C0404,P003,2,20,6399.2,356,2024-03-03,2024-03-02,PayPal
O00004,2025-01-31,C0508,P003,1,10,7199.1,237,2025-02-03,2025-02-03,UPI
O00005,2024-07-10,C0594,P001,3,20,2399.2,165,2024-07-14,2024-07-16,PayPal
O00006,2025-08-21,C0639,P002,2,10,4949.1,275,2025-08-23,2025-08-25,Wallet
O00007,2025-06-25,C0340,P006,2,5,8549.05,122,2025-06-27,2025-06-28,UPI
O00008,2025-01-11,C0606,P005,2,15,3399.15,278,2025-01-18,2025-01-19,Debit Card
O00009,2025-01-05,C0507,P012,2,0,599.0,196,2025-01-12,2025-01-13,Debit Card
O00010,2024-03-29,C0131,P011,3,15,1104.15,406,2024-04-02,2024-04-02,PayPal
O00011,2025-08-24,C0435,P008,1,0,6999.0,462,2025-08-26,2025-08-26,UPI
O00012,2025-06-29,C0346,P002,1,25,4124.25,439,2025-07-04,2025-07-06,Wallet
O00013,2024-02-04,C0090,P012,1,0,599.0,262,2024-02-09,2024-02-09,PayPal
O00014,2025-08-31,C0414,P005,1,25,2999.25,173,2025-09-05,2025-09-05,Credit Card
O00015,2024-07-11,C0551,P003,2,30,5599.3,431,2024-07-14,2024-07-17,Credit Card
O00016,2024-08-09,C0354,P004,4,20,12799.2,189,2024-08-12,2024-08-11,PayPal
O00017,2024-01-28,C0063,P002,1,20,4399.2,306,2024-02-04,2024-02-06,PayPal
O00018,2025-08-15,C0518,P002,1,0,5499.0,204,2025-08-20,2025-08-20,UPI
O00019,2024-08-12,C0112,P012,1,10,539.1,311,2024-08-17,2024-08-17,UPI
O00020,2024-04-29,C0192,P007,1,0,4999.0,294,2024-05-06,2024-05-06,Credit Card
O00021,2024-02-14,C0205,P004,1,5,15199.05,159,2024-02-16,2024-02-16,Debit Card
O00022,2024-08-16,C0146,P006,1,0,8999.0,253,2024-08-19,2024-08-19,Wallet
O00023,2025-05-07,C0307,P012,4,5,569.05,282,2025-05-14,2025-05-14,PayPal
O00024,2025-03-20,C0625,P007,1,10,4499.1,314,2025-03-27,2025-03-29,Credit Card
O00025,2024-01-26,C0621,P012,2,15,509.15,253,2024-01-28,2024-01-30,Credit Card
O00026,2025-09-17,C0193,P004,2,20,12799.2,275,2025-09-21,2025-09-21,Wallet
O00027,2024-03-06,C0430,P005,1,5,3799.05,328,2024-03-11,2024-03-11,Debit Card
O00028,2025-01-08,C0367,P006,1,5,8549.05,204,2025-01-12,2025-01-12,Credit Card
O00029,2024-07-05,C0243,P008,1,30,4899.3,321,2024-07-12,2024-07-12,UPI
O00030,2024-05-13,C0186,P005,2,0,3999.0,135,2024-05-20,2024-05-20,Credit Card
O00031,2025-02-01,C0268,P008,3,0,6999.0,325,2025-02-03,2025-02-05,PayPal
O00032,2024-04-15,C0372,P003,2,5,7599.05,283,2024-04-19,2024-04-18,PayPal
O00033,2024-02-22,C0531,P007,1,5,4749.05,207,2024-02-29,2024-02-29,UPI
O00034,2025-05-13,C0010,P011,1,0,1299.0,287,2025-05-16,2025-05-16,UPI
O00035,2025-05-05,C0557,P007,1,0,4999.0,261,2025-05-07,2025-05-07,UPI
O00036,2024-11-25,C0091,P009,1,10,359.1,312,2024-11-29,2024-12-01,Wallet
O00037,2024-01-12,C0476,P001,2,0,2999.0,286,2024-01-15,2024-01-16,Credit Card
O00038,2024-02-10,C0044,P007,3,0,4999.0,96,2024-02-12,2024-02-13,PayPal
O00039,2024-10-11,C0230,P005,1,0,3999.0,303,2024-10-15,2024-10-15,PayPal
O00040,2025-12-23,C0421,P011,2,15,1104.15,207,2025-12-27,2025-12-28,Credit Card
O00041,2025-10-13,C0454,P007,2,10,4499.1,264,2025-10-20,2025-10-21,Credit Card
O00042,2025-08-15,C0451,P001,1,20,2399.2,109,2025-08-20,2025-08-19,UPI
O00043,2025-10-06,C0126,P001,2,30,2099.3,257,2025-10-13,2025-10-14,Wallet
O00044,2024-01-12,C0237,P008,1,5,6649.05,360,2024-01-14,2024-01-14,PayPal
O00045,2025-11-02,C0614,P002,1,5,5224.05,434,2025-11-04,2025-11-04,UPI
O00046,2025-03-16,C0572,P009,2,30,279.3,181,2025-03-23,2025-03-23,Debit Card
O00047,2024-01-24,C0436,P009,1,15,339.15,97,2024-01-31,2024-01-30,UPI
O00048,2024-09-15,C0438,P005,2,10,3599.1,266,2024-09-19,2024-09-19,UPI
O00049,2025-02-11,C0128,P011,1,0,1299.0,340,2025-02-13,2025-02-13,Credit Card
O00050,2025-03-02,C0556,P002,1,10,4949.1,332,2025-03-04,2025-03-04,PayPal
O00051,2025-03-31,C0192,P002,1,5,5224.05,316,2025-04-07,2025-04-08,Debit Card
O00052,2025-02-20,C0507,P011,1,5,1234.05,163,2025-02-22,2025-02-23,PayPal
O00053,2025-12-24,C0521,P009,1,10,359.1,383,2025-12-28,2025-12-29,Wallet
O00054,2024-01-22,C0413,P001,2,0,2999.0,334,2024-01-25,2024-01-26,PayPal
O00055,2025-06-14,C0328,P003,1,5,7599.05,195,2025-06-21,2025-06-20,Credit Card
O00056,2024-11-06,C0570,P006,1,15,7649.15,404,2024-11-13,2024-11-15,UPI
O00057,2024-05-13,C0315,P012,3,0,599.0,450,2024-05-17,2024-05-17,Credit Card
O00058,2024-04-03,C0030,P011,1,0,1299.0,372,2024-04-10,2024-04-12,Credit Card
O00059,2024-11-02,C0095,P007,1,15,4249.15,294,2024-11-09,2024-11-11,Debit Card
O00060,2025-09-22,C0071,P006,1,5,8549.05,110,2025-09-27,2025-09-28,UPI
O00061,2025-05-12,C0158,P003,1,5,7599.05,105,2025-05-17,2025-05-17,Wallet
O00062,2025-12-08,C0609,P012,4,10,539.1,294,2025-12-15,2025-12-18,Debit Card
O00063,2025-08-17,C0323,P012,1,20,479.2,306,2025-08-21,2025-08-20,PayPal
O00064,2025-10-14,C0456,P012,1,5,569.05,165,2025-10-21,2025-10-21,Credit Card
O00065,2025-08-24,C0439,P009,1,20,319.2,318,2025-08-27,2025-08-27,Wallet
O00066,2024-11-22,C0086,P005,3,20,3199.2,268,2024-11-26,2024-11-26,UPI
O00067,2024-12-01,C0032,P005,1,0,3999.0,239,2024-12-03,2024-12-04,Debit Card
O00068,2025-04-30,C0060,P001,1,0,2999.0,432,2025-05-03,2025-05-06,PayPal
O00069,2024-03-24,C0438,P006,4,0,8999.0,464,2024-03-28,2024-03-29,Wallet
